original_text,noisy_codeword,snr_db
Y,"[0.7076295186812609, -0.33834991095582434, 0.01882543697837402, -0.19264684623646067, -1.238609596652925, 1.5419467560740299, -0.09482837563101731, -0.907965865031826, 0.9955459338569727, 1.07087452338865, -1.625950275345506, 0.5905336000621602, -0.48501369121008286, 1.3629492576968996, 1.7195808740332441]",5.0
HsLDd,"[1.0165989390266759, -2.0269035345636803, 1.398555379306591, 1.2194209504332032, -1.0430196341761557, -0.030979647775884134, 2.854527554243041, 0.8004555493249456, 0.36478725665874123, 0.6502808217647668, 0.7398089978724618, 2.384073452781112, -1.1245199856151726, -2.26550897019917, 1.9746109299422092]",2.0
Dg,"[1.8640621739137626, -0.5233239305024766, 0.7732332410168768, 1.878782875989398, 1.5900731948893438, -1.500078941066942, -0.886176483575009, 1.1693580379378492, 1.5221066271188635, 0.0011978368004459394, -2.0785998953957576, 1.4892113227769912, -0.40444076330550893, 0.8274771400246769, 0.7118567992935461]",3.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.5136667360636288, 0.06140506944366719, 0.7895738687170422, 1.776721041470371, 0.7102163060237466, 0.7251964399648083, 0.3818696525033429, -1.3122287235710088, -1.2364724255189998, -1.145337004050039, 0.2700052716789395, -2.089031571375365, 2.1126434305607833, 1.3427936040253867, 0.35161169952257965]",2.0
lcdPCJe,"[1.8680980919864072, -0.43357754217949507, -0.3423271047008227, 1.0627352615695105, 0.3296549754758944, -0.9797251295113169, 1.639322096022053, 0.8431329045649996, 0.7539608729928937, 1.1512196770396361, -0.12226587417124235, 1.183461634661016, 0.2684062314915766, 0.5068830673273861, 2.0700898433081374]",4.0
EQiKWut,"[0.11381845842244875, -1.0751146116081256, 1.403744883210115, 1.5379615792794903, 1.5559549148514613, -1.4525993040156058, -0.28813616171590495, 0.5168546845402915, -0.03712912854822892, 1.8355026882705454, -0.7757277616476879, 1.5598243757232277, -0.3514243097299041, 1.6071718774092423, 0.918856822854053]",1.0
sNTtP,"[-1.1482424079798421, -0.8167756238472638, -0.16587353307464803, -1.0772351016963722, 0.9027408135362753, 1.0303633300515032, -1.8988359249184672, -1.5858078354098166, 1.1434941957503546, 1.4618764360972707, 0.7272933554667236, 1.1902226750347797, -0.9864662912926221, 1.8228135470986644, 0.6620639116187506]",4.0
La communication numerique est au coeur de notre societe moderne,"[2.156990922607111, -0.7425542648930128, 1.3507629843117637, 1.1468348871659928, -0.35393197972541934, -1.9214072634772221, 2.292809412045017, 0.19472358294220515, -1.5878430338912202, -1.4664152840093434, -1.1161558406532472, -1.1815640845072133, -0.5030390896560835, -0.05116900981829686, 0.4797384328723744]",2.0
u,"[1.045508775800974, -0.9325530137647579, -0.7971181400649496, -0.3121226289758747, 1.221935837526635, -1.6408220913616167, 0.4811174984719333, 1.5564565306719251, -0.8402472093154569, -0.0498328819062791, -2.2849109633089975, 0.0026713023142024284, -0.7941506830330951, 1.3984722350911714, 1.4550502325093762]",1.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.0921800481715354, -0.8907641791099915, 1.261271696806343, 0.4186094328463271, 2.6631958058894813, 0.05620175497602675, -2.996098235173225, -2.4741451304208635, -0.6213245180263729, -1.8897521994858804, 2.5926259177467452, -1.4590139744676511, 0.03850319749984277, 1.4821679673725239, 0.4915425910803506]",1.0
SAMk,"[0.9582903954618558, 0.0432614256437267, 0.6440949608841839, -0.6677341797035544, 0.4699567163302739, -0.11204472854049641, -0.12629078695294238, 1.0185874888528652, -2.470732118787199, -0.0136980183987363, -0.3274623911766672, -2.369826031147751, 0.9701751409891175, -1.040725129561516, 0.47727596281567697]",0.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[0.9933308368635683, -0.9785440376701923, 0.536404021116381, 1.2397878139040113, -0.9756467720711467, -0.25912116187026146, 0.32315976082606657, -1.5993968860288288, -0.248933752048485, -1.1698481610911977, 1.0987145023118212, 0.14140088164159548, -1.2541964641059322, -0.12014754737679978, 0.9559875361863329]",0.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[2.075746727451008, 0.7099270654446383, 2.1446855806078005, 0.6041128081516446, -2.0426766025103578, 0.1074138113684775, 0.7427798273860629, -1.3700822330736682, -1.467588630125119, 0.304942968850928, -2.289832882028951, -1.5763087178824322, -1.4758054164251162, 0.22736888896714147, 1.527873163962147]",1.0
uCQucx,"[0.5642654279504291, -0.7507211115929419, -0.9850272371833472, -1.7962292633405157, -0.007367979365292987, -0.665883475507667, -1.4134826778755791, 0.4048508848419792, -0.11074469832457423, -1.3359725656677188, -0.5572958829802672, -0.7953212887707066, -0.9435229192876279, 0.7707169044708804, 1.3022465687610927]",2.0
yyNY,"[2.9865204796861784, -0.1533006258232108, -0.8793093901888176, 0.23338465571375222, -0.36641535495803934, 1.2135500035956635, 1.5234390547672434, 2.1589510055654832, -0.23570671532675846, -1.3377211664644846, 0.5263938036838572, -1.3108763410534285, 0.9394719747127231, -1.7151460956542168, 0.5835631210867658]",1.0
Zjw,"[1.7516816405274769, -1.2567556880956232, 2.4250861114710087, -2.154906704577953, -0.892788795280472, 2.168142891647819, 1.4347938743625759, 0.40815554636710405, 1.4468548197779314, 0.4551389475933427, -0.37024524850426843, 1.7469026481838004, -0.004838418978737713, 1.4196423107892269, 1.3007196527117313]",0.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.0076733666831943, -2.0767343315498388, 1.798857156952139, 1.0066397557203377, -1.4450339952397484, -0.427269388464126, 1.6360921106037272, -0.6634490183729873, -1.6003673443865019, -0.2434518591086957, -0.8548443426851005, -0.64518594847364, -0.8855321465095214, 0.9439627279611049, 0.7585569954860112]",3.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.3703088042192837, -1.1685107654999147, 1.3938930048310592, 0.962579335784394, -0.31124649923686, -1.37751809424147, 1.3887948425170795, -0.8097872763576262, -1.7023623213355934, -0.5692314713114007, -1.1309182114162866, -1.265337642080514, -0.633577557426692, -0.5942253439743079, 1.2441618440940119]",4.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[0.6151993520340315, -1.1143763280344743, 1.0949040644818646, 1.5270026766403284, 0.23283810713918118, -0.9594456271282896, 0.7798544150846871, -1.0548537148670312, -0.6422805630459602, -1.2847206183252604, -0.8611560853688667, -1.9710639635944278, -1.969550219971092, -0.9699290013010285, 1.4033814714453376]",4.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[0.6505463231790268, -1.8476441059121993, -0.011460317640202389, 0.9592525549461777, -1.4528070146299705, -1.7827610349060796, 0.08704796836359385, -1.4661001255601782, -1.9164156179262894, -1.182943277299251, -2.3243621443995117, -1.8372228325365332, 0.42471935824733276, -0.40389728848098205, 2.140327306856725]",1.0
B,"[0.871160760467091, -0.05765970317480584, 1.3115156601233375, 0.27200525713981616, 1.002974318733154, 1.12557402258114, -0.23695491574060024, -0.722110362491873, -0.1272877333168495, -0.7429157750840054, 0.42718591567677633, -1.0266127926564261, 1.8700516381565095, 1.438650965990448, 1.8413216319358265]",5.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.2537241735696902, -0.7017726954559129, 1.0370693552321053, 0.9784566852103922, -1.0405598656361181, -0.9905152958675685, 1.3021738523414013, -2.3972913382284124, 0.36821735714983417, -1.7714789887634363, -0.9485861532812869, -0.6969709196862753, -0.6592549676608637, -1.1172115000928156, 1.952094709635759]",4.0
La communication numerique est au coeur de notre societe moderne,"[-0.5655418161039845, -1.3984112092741194, 1.820646781181704, 1.2202102136747293, -1.2721054997723222, -0.7465327033451288, 0.3857822491019891, -0.2608926400319308, -0.691625587376521, -1.525299824142995, -0.21281897459376986, -1.3374100703174436, -1.6232139909437397, -1.1901546223413246, 1.0946882091853507]",3.0
La communication numerique est au coeur de notre societe moderne,"[-1.311141724496549, -1.783487406932692, 1.3312452510363773, -0.38367452673206004, -0.22819958002627605, -0.8814622374477301, 0.5004229649289139, -0.4218340499155996, -0.018092957223779682, -0.8334693256988063, -0.07669608118661309, -2.2360287610656315, -2.8101669479951923, -2.5905208611180424, 0.9194516540876202]",1.0
KVwSzL,"[1.2749969502225225, -0.17702204158386925, 1.2229104897526222, 1.538764901850531, -0.8952633556194554, 1.0654107451747146, -0.08342220253878407, 0.9656044031813236, -0.5240470415306029, 1.5307924002705642, 0.896393113601488, 0.5747191421728289, 0.42984293586988076, -1.0599669430660672, 0.6587949612890074]",3.0
La communication numerique est au coeur de notre societe moderne,"[1.2725391795081546, -0.5879769303344231, 0.836464343218664, 1.6683126480957706, -0.8748821280797434, -0.8093370486167798, 0.7640992866638214, -1.542397444012262, -1.390005576617863, -0.6486002657923201, -1.3078457011356068, -0.9804203014333265, -1.2839268528453753, -1.8008753418642738, 0.8166861357710167]",5.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[0.7386002139383698, -1.9219830097219774, 1.8625963003174781, 0.23108799765823318, 0.07255555247256451, -0.9139794607958132, 1.4756931228436625, -1.8568525258276378, -1.1820306896946597, -0.018754029642609527, -0.2831464826585872, -1.360247724439616, -0.2823452937954489, -1.8671702800318373, -0.029636846715092924]",1.0
La communication numerique est au coeur de notre societe moderne,"[1.0357497058736882, -0.8732257110361564, 0.8749328140740855, 1.0732243125149894, -0.7441948262386349, -1.5800868942613961, 0.2560209674110241, -1.3719584458894196, -0.691508566184534, -0.7092552567766712, -0.4963775169400916, -1.482883982564774, -1.101045907232962, -1.8886954798957476, 0.3997169414545002]",5.0
E,"[1.066662552550942, -2.400533269875403, 1.699104348446768, 1.2614055835356606, 0.947806657737682, 0.34314236486091265, -0.3530795311628966, 1.6228380483258662, 1.202178992497578, 0.7416080782152006, -0.25678501498014117, 2.9419627611595915, 1.2236073048599714, 0.8148282901956868, 0.19672226727984332]",2.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.8258667946793836, -1.8437585613418732, 0.025693683250156862, -0.4351145194924282, -1.795832987249146, 0.8661889203606614, 2.185839401382289, -1.1820386628831008, -1.6563477757515859, -2.2655728149355006, -0.11188648524461009, -1.3153562928261875, -1.464475155110468, 0.6112617242045999, 0.06658806879168644]",1.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[-0.035318546611771806, -2.486557353776363, 0.8701895341903443, 1.8851320725813994, -2.2281074196192865, -0.6544295910563369, 0.9030180226621163, 0.48629145024965004, -2.123102608292082, -1.990361660230812, 0.2081904051441903, -0.6627065414981235, 0.5556351161979791, 0.05771575614940261, 0.4358814308036615]",2.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.1684358868739857, -0.7265556069768431, 1.4467488999865648, -0.06778455298457287, 1.0989160151213822, 0.08028282261192476, -1.1445137241224421, -0.5311156100423411, -0.3480769810101104, -0.08796831661725779, 1.304675987396664, -1.4206533360452416, 0.32154314530615535, 2.411800442433246, 1.255140058973725]",4.0
sztY,"[1.13572961331323, -0.7055467217535941, -0.28623435386419604, -1.5787511064062763, 1.77681837954689, 0.7974945130337131, -1.9059588080766687, -0.5543005416755233, 0.6918804977581194, 0.8279820791972932, 0.741874285117633, 0.5651583472461565, -1.1076420672797114, 1.6196455180946363, 1.1579786925396982]",5.0
Q,"[1.5362532410574916, -1.0655008509871962, 0.566295013740572, -0.8964959025419685, 1.0055439867500513, 0.4903245586150279, -1.9561486234676657, 1.7836664857610178, -1.4701280574298339, -1.3451935493372784, -1.179599248742526, -1.717740754907572, 0.6472608290785311, -1.3880422042367884, 0.7628138413308307]",5.0
BEVa,"[-0.5644141928694424, -0.6284679214259359, 0.8703798882985805, 1.4562847252669409, 0.7581524982091637, 1.146844553954885, -0.945103652571811, -0.6331315454449019, -2.249910678329277, -1.1916777838830972, 1.7216580951880789, -1.48919012477208, 0.5309447174892739, 0.9453550417804271, 1.6231927705314653]",2.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.0016498484810494, -0.7033680026031228, 1.2603634391305136, 0.5452390458615867, 0.6469091185319538, 1.0518568538006177, 0.41564670622945865, 0.3786478944765115, -0.9054976769596164, -1.4230431303692292, 0.2685767315012815, 0.017640486057380222, 1.6546284996658214, 1.4687691570868804, 1.3138516441122032]",3.0
Iju,"[0.4606305654720184, -1.0482451019007353, 1.8488397634384202, -0.3460652052338433, -0.12335012911893994, 1.4396972009436249, 1.646362374338939, 0.4095361612859866, 1.5782646262243438, 0.37288652023883406, 0.7814855613855883, 0.43748550451711943, -0.9936476500236701, -1.5739291726535312, 1.3345230159798873]",1.0
Dz,"[1.089515332383149, -0.9491882546599683, 0.859470491131701, -0.012399051050619558, 1.7349359937957027, -1.3410848732968965, -1.1944859700410486, -0.07951718771031979, 0.6446863543693002, 1.7815394892481642, -0.0687513934708287, 1.4712344861550946, 1.5510859632576666, 0.42873560858134896, 0.6794175790853163]",5.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[0.9190697945798808, -0.2871961028418588, 2.6656681436522343, 0.11372722489969711, -0.20448829190426643, -1.3398835720969797, 1.7892253564322531, -1.1136306148160084, -3.1654522768847557, -0.9562915126191145, -1.467201494740468, 0.3060052598045069, 0.533072649818755, -1.3112212218300774, 1.7577537884466934]",2.0
v,"[2.8984300693185228, -0.9380867475565886, -0.966898540628495, -0.7590289995855354, 1.2061070833575136, -0.7863700729881222, -1.1004262161402372, 0.3580223014458779, -0.36792463486061633, -1.2293700919059998, -0.28387183727261156, -0.7101355726013676, -1.4777893068494887, 1.2262560222511387, 2.0804622816284626]",5.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.4332083750350595, -1.0516464056143926, 0.497321157027963, 0.37098998175120035, -1.8184132922823522, -0.5646523564775934, 1.5354827939265259, -0.27944834845786537, 0.37409520617465897, -1.6740093456982355, -0.5791868800183397, 0.3383329980790557, -1.8363439988285069, -2.176381544462394, 0.41391216176583123]",3.0
Ho,"[0.3387291481247534, -1.1021927381059426, 1.3681315058893349, 0.04336337066053353, -0.029464593202200295, 0.08971168237599558, 1.2771145951645035, 1.0896083722067706, 0.5864334538196989, 2.110377921795742, 0.6159135429809419, 1.202608490786593, -1.1025536188472342, -1.973084134287363, 1.8042262288249309]",5.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[2.6405888706875924, 0.09399561026710401, 2.392415370184367, -0.2500349355063918, 0.6303412215021462, 0.7800604326101832, 1.4718604295565967, -2.5478933199517626, -3.5969094717465047, 1.358214033805957, -1.0265585614103012, 0.6746453745361503, -0.5936812386047227, 0.19903137898830203, 1.2431668318124784]",0.0
oRxVq,"[0.8581937916874326, -0.7592795661748022, -0.7331465122651273, 1.5486321221359578, -1.6436898722767257, -0.5421846349304293, -0.47871276426362885, 1.562844228636401, 1.036514272330859, 1.0333840078313603, 1.277001280451971, 1.6057695318698764, 1.9757288381365836, 1.0282891568593682, 0.27869703415116254]",3.0
Irrbm ,"[2.450988080456268, -1.0465717736013296, 0.3604004964415102, 0.902757160698019, -1.803534852424099, 0.20640403720831224, 1.9062352824856965, -0.044360273300590114, 1.9281638614084975, 2.21140548645758, 0.22343574486340634, 0.24370497966089588, -0.39669225706511746, -1.2437350675236343, 1.005003937227505]",2.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[-0.7696358123992249, -0.41152692027558346, -0.6563081333678777, -0.36576708301507543, -0.6189731776009246, -1.8454872550119614, 1.187174085462051, -1.6474821988402761, -1.7335011451871478, -0.6334977836546789, -0.11597696132436286, -0.21092181250931463, -1.162166324774553, -0.3852197292335975, 0.45223762387656685]",3.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[0.2960747571582706, -1.0937638311050628, 1.1424507125389523, 1.408888477150537, -0.43828231361690484, -0.4890742336416418, 0.005463354972778944, -0.9805874695554551, -1.3893961966581467, -1.736279343082321, -0.012209732222738578, -1.1530682448561556, -0.2299733405046549, -0.8846969143759476, 1.5020226021281355]",4.0
La communication numerique est au coeur de notre societe moderne,"[1.4537078954003535, -2.6122166623102396, -0.7013772762536126, 0.4711343564161373, -1.1210694865761461, -0.4701337168525713, 0.8597266873730374, -1.0905854783642512, -0.4229930204886295, -2.0516513627751625, -0.7190374420633427, -2.4706143773298845, -2.151421716590395, -1.3432614198359472, 2.6580382182128393]",2.0
hXcHy,"[0.53484209949569, -2.5057998035997873, -1.587920753854212, 0.29098384439455627, -0.2888494991982007, 0.4239789163899066, 1.9017438932188173, -1.3654821727689983, -2.627759715131673, -1.034138974846106, -0.9327795207801377, 0.09438794060303302, 0.6227703887593607, 0.924701066546121, 1.0697443799929085]",1.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[0.5695405579705399, -1.6771265177648529, 0.5364443251171366, 1.2375426191390504, -1.1646774045978596, -1.649653747277121, 1.1433352683942222, 0.17852658866264415, -0.8076163694436387, -1.0676515979658874, -0.3644695401401087, -1.014379323761366, -1.0256848647102794, -2.360294552696428, 1.424379344053293]",4.0
VvawPPw,"[-0.6710652309733351, 0.14228580417189507, -0.019043810749292067, -1.747222797877117, 0.7515310137669675, -1.7355219810179037, -1.064706686404365, -1.634568919893828, 0.9168614399260786, 0.8829453488584117, 1.3817606164518728, 0.40237941111669284, 1.6582455365560669, -2.033359540377667, 0.4026006608203543]",4.0
tSfGcip,"[0.058669290134204966, -1.4773799030007457, 0.04279238361086146, -1.8253994393937247, 0.6773391262161672, -1.0992288442566718, -1.1219675029092468, 0.7438803257738557, -1.4981140688684873, -1.7285744043869313, -1.9839678037278312, 0.9532105038429723, -0.5649144238134743, 3.014473586701414, 0.6912691761845613]",0.0
La communication numerique est au coeur de notre societe moderne,"[0.8399871712239039, -0.8249808581062186, 0.6105042399416724, 0.06296235543941164, -1.7748960064424493, -1.6939396163979616, 1.9428601386959112, -1.4327201585503977, -1.5239958247651844, -0.540625259387831, -1.7967628203001835, -0.8192068705666622, -0.8851597888003206, -0.07017958846901062, 1.5442852832862872]",5.0
d,"[0.957567109544264, -1.4798262531785433, -1.1837096630178343, 1.313607835224377, 1.5131157808943145, 0.11046151182283426, -0.690524042509022, -1.2706180672243723, -0.6754902141064147, -0.8124787091370356, 0.8893887068919858, -0.7470858483536376, -1.3463844858006946, -1.1961799489661986, 1.0078595054442958]",5.0
uwntN,"[0.026940811662363284, -2.145497170814563, 1.174846607110768, -0.37053752828726094, 0.48306882739199897, -1.1967043840137501, 0.30514482644434415, 1.5781421126200963, -0.6393299199623771, -0.0998050160606272, 0.5700010217230127, -0.7985019299282669, 0.053037737865043066, 3.4297785548292268, 1.0050000931687004]",1.0
a,"[1.7795209338522628, -1.6037066747312645, -0.82208995099318, 1.0105040305288508, 0.3022069247631821, 0.6801632199537547, -1.7963749861078662, 0.6118714363036007, 1.7803532910928284, 2.4113291664732035, -2.063506227427437, 0.6934512761988487, -0.17825330322449673, -0.8872436636103395, -0.34401891136776674]",1.0
adAgT,"[1.22617088463412, -1.0025840510236135, -0.5683414182765423, -0.01870568357539093, 1.169556653536796, 1.5606412749640595, -0.05181494641996709, 1.6690121561301035, 2.1314932611802315, 1.8036603224445371, -0.8830480436457868, 1.5084145585744277, -1.203556300282351, -1.2803983972831487, 0.9480387448069955]",4.0
iAGmV,"[1.257775220419803, 0.755405224261803, -1.1174243003848143, 0.7752123633928911, -0.9251688650964234, 1.4612970421387714, 1.078241668331825, -1.7408229056518651, 0.4201090261774807, -0.4513163659462235, -0.8692414684115635, -1.1379057287844312, -1.5163890681335932, 0.24297633531370677, 0.8302440242062437]",1.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.45990646659025536, -1.4716823440598537, 2.3401955566681636, 1.460144345755419, 1.1710773745256355, 1.3756931476988528, -0.20235091858585674, -0.5375923018223411, -0.6154457495023611, -0.5909561763258172, 1.2013096964326266, -1.6100097192909304, 0.9769883160396446, 0.30274820656467305, 1.3812149618493867]",5.0
C,"[0.42991720586816984, -1.0540927849711164, 1.0423199005938606, 0.07098558889751683, 0.9054772219122678, 1.314531386362476, -0.6905244593505185, -0.7778271200090412, -0.44342356921659787, -1.0662751018322145, 0.07319256899293902, -1.612785176192868, 1.3022609315218614, 1.1549847758727545, 0.46994189767906214]",4.0
bOl,"[0.5088100329488691, 0.29405958348855066, -0.6878785546165906, 0.5527629228879858, 0.4309075229931446, 1.1794417447131258, -1.7576308198962365, 0.15089663222253769, 2.3341208609974404, -0.8055722877542317, -1.357751874355631, -1.178005953440612, 0.11627448110797767, -0.9388913583231295, 2.389892217278406]",0.0
EKvQO,"[0.7525815478016232, -1.0932702977342972, 1.9927174121941933, 1.4499252465555141, 0.6120961175636653, -1.5637993248575048, -0.639592887841723, 0.40844614945241464, 0.9176200750181893, 0.18984850015214716, -0.7251036021756033, 0.1085853979170307, 1.330856717040192, 1.008514321258327, 1.3557838817468952]",4.0
vo,"[0.3859786968185167, -0.33605209927145896, -0.6886213412086373, -1.1440635564628114, 1.159300112297984, 0.3635138956803001, -1.4514802987225774, 1.2500806374511433, -1.6217585092429638, -3.1126350402988026, -0.9736312232957459, -1.0913519527139934, -0.8033680274379349, 1.5174296839647232, 1.385713506822007]",3.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[0.2466207751404207, -1.775384003326089, 0.497733116236468, 2.8124897531289905, -0.7594885563846059, -1.3330120585195657, 0.3836046834097052, -0.6080751785167786, -1.5607952511363052, -2.186347186834018, -1.5975803787807976, -1.6738013108406777, -1.7609676164593322, -1.234452570487507, 0.6864755193621089]",1.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.5033808548343248, -1.2227732936304831, 1.0330895565193772, -0.3735735451549522, 0.9540371137040858, 0.06971501602297048, -0.3418718939022194, -1.5238449425380947, -0.63935070007814, -0.953095323317957, 0.4129751350151525, -1.035264967186401, 0.8760700344194985, 0.5000809425123758, 0.6662785697400087]",4.0
La communication numerique est au coeur de notre societe moderne,"[0.7806495686595017, -2.0419242448339103, 1.7674404306544063, 1.4595890658983812, -0.675137354631301, -0.430051943152585, 0.684054377001018, -1.714147751111181, -0.738127203791813, -0.22714340350262696, -0.9708703432693566, -1.604066603820499, -1.115338850809231, -2.2291916511461585, 1.3428757373495408]",3.0
p,"[0.05754493673830319, -0.8915043339970238, -1.2516675486785283, -0.9248183622467995, 1.0563935935787256, 0.47570679623022005, -0.7622913529452249, -1.5463745433077984, 0.6492902636539459, 1.9417639934176827, 1.3801077897183314, 0.97180821499014, -0.004228082730100224, 1.2887029502067089, 1.1025479783378338]",2.0
pzqmiuz,"[-0.4340758937472746, -1.738165895010396, -0.607631802574268, -1.0049450256498487, 0.2107709890165841, 0.774025250873573, -0.9581418702915652, -1.4812169832657915, 0.4586522116500156, 1.2251355122095875, 1.687968823497617, 0.18043093628744955, -3.290821826768001, 0.27603132132535435, 0.08859068362166256]",1.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.1407366448861767, -2.1222763968121847, 1.7334591765782412, 0.7085267789457863, 1.9871774337939574, 0.7862150756254523, -0.1527161873276769, -2.2110550282325807, -2.4708729366425537, -0.9141214651700893, 1.504233400849158, -1.417600632214734, 0.5511486790994548, 1.9961733335722465, 2.175937355432053]",2.0
AubAoY,"[1.4858919324251714, -1.2776386674571993, 0.4682886120227838, 0.38844166972769334, 0.30271469040741306, 0.5337889541686304, -2.553977062163805, -1.1681538707331376, -1.6904338613317496, -1.3330589660572603, 1.9827596395595246, -1.145928467332808, 0.3844993918509617, 1.6160577460333352, 0.8788537717458427]",3.0
La communication numerique est au coeur de notre societe moderne,"[1.052319364297169, -1.293802249254032, 2.026917391506079, 0.9107449603639607, -0.963054442206842, -0.4919581324256025, 1.6871599743533676, -0.6480275016898499, -1.3975822911721363, -1.501147416007394, -0.7575086696494603, -1.4584971772875248, -1.6112468140867584, -0.8081079314803234, 0.41710275793752916]",5.0
XaQH,"[-0.6675240599797996, -0.8339812621721856, 1.8928840488539824, -1.841708989992078, -2.484515386528984, 0.4180487779474923, 0.8410751161960928, -1.4448805743586277, 1.1728472023074223, 1.1360971354728162, -0.8978803563031867, 0.2188981110306064, 0.017574684592940093, 0.9139536589832975, 0.5645924364354367]",3.0
