Mot original,Trame codée bruitée,Trame binaire originale
,"0.6696303029316765, 1.161071979972701, 0.9247130693667939, 0.9847441714144477, 1.0256976720533464, 0.831195914756482, 0.918345826057346, 0.9928186504546984, 1.1547054493728426, 0.9598142306707086, 0.9833532963091282, 1.0557946669799465, 1.0519809779035794, 1.0004995069820861, 0.8021950561761899","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
k0a,"0.890913296599096, -0.8844238722330564, -1.3181739944036805, 1.2367901339665288, -0.9228012161672928, 1.1722398641478506, -1.3389074741861098, 1.3136386338631487, 1.0253751375835365, -1.176660943795878, 1.0350062564514952, -1.1287851658896777, 0.876654399255127, 1.0342256802929108, 0.8313068431116759","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
3bfagzecj5,"0.8342127810235687, 1.01453091595968, -1.1412802581924184, -1.0101307561612263, 0.8421552787368991, 0.7853243293414814, 0.7632346904910061, -1.2427988461182262, 1.0271381015052514, 0.9647682268963735, -0.9417446919122834, 1.1134668699780255, -0.8152111034101623, -0.9543714881114695, 0.9030281279264527","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
ulhlwzxv,"0.9247084490632529, -0.9277415243711451, -0.9275994764162278, -0.988558485532375, 0.7800822893517818, -0.7800252798659609, 0.9855361425799926, 0.9987753280578298, 0.9951390277736512, 0.8412169326173087, 1.294929370999542, -1.244153750171779, -1.232392905931662, -0.9333213550170039, -1.0700118016091738","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
xgubt,"1.078471979361815, -0.8384166251756007, -1.083959132557366, -0.9670188010824492, -0.8590256960945692, 1.1098687272323906, 1.2166623950859767, -0.9632901161609738, -0.956560098262111, -1.0894255579535583, -1.0243462532905627, 0.855632741133397, -1.0902732614662656, 0.9492735946832513, -0.9941402694745219","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
vy88,"1.067622607425124, -1.0071184965766034, -0.8815291062767421, -1.2510575134981192, 1.200107578893947, -0.7180619911433768, 1.0843521779565777, 1.2209235959840026, 1.0385518249782704, 1.0418407942348775, 1.0718885574127073, -1.0611744681632942, -0.8822067670025355, -0.7301476954721736, -1.0100924869870296","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
ntb,"1.1160805497551343, -0.9942619922866379, -0.8956994245426977, 0.7234084155889562, -1.1395390107530088, -0.9842135146211838, -0.8392244083622136, -0.8275715415062669, 0.8306155477041741, -0.8919356357576227, -0.9176678430358624, -0.9811016910810132, -0.7890262840628035, -1.015063904530883, -1.0859709716541408","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
,"1.0799239024957694, 0.7966082289435209, 1.0498091289866394, 0.9580422837778871, 1.155087582969751, 1.1322374408605207, 1.062406365618639, 1.0568007041540013, 1.1064313257455298, 1.0737179107595862, 1.0149757901596277, 0.9903983591374033, 1.0270050866551377, 0.9326699343380884, 1.1526594225183764","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
mv86h,"0.996510961484324, -0.9419607848203979, -1.0931070115656996, 0.798840893401066, -0.8894287813392131, -1.018863598185427, -0.71702341929541, -1.1510833928156883, 0.6963779471022055, -0.9123395284732088, -1.0009678411439475, -1.0978513803575003, -0.919298921644928, -0.6778236154437658, -0.9984837802951086","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
1djd,"0.9486533690945043, 1.1807995531715496, -0.9557667167176169, -0.894370254342115, 0.9017728527749287, 0.8311840379306297, 0.904751596601926, -0.8189351273676349, 0.9282563734452793, 0.9374184566583756, -0.8988983879518003, 0.9686670154853098, -1.1690522490466282, -0.9598224067066279, 1.137473703519137","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
23bn1sm,"1.124162230003179, 0.9626493558542939, -0.9745621753284123, -0.9760089479068061, 1.023280879946331, 0.9492271487148127, 0.8892726180578875, -0.9595583431684941, 1.0762476951620141, 0.8463897595168893, -1.0417594169291595, 0.7849746560127113, -1.0525363983169742, -1.0501550800153683, 0.9706283101999151","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
53u2v1v0,"1.1173879104842142, 0.771925142784022, -0.8069695510053954, -1.0746768858446523, 0.9359776141188366, -1.0615544207491476, 0.873735036945209, 0.9195021572431731, 0.787442823391959, 0.8793538616058685, 1.0310807505829778, 1.0708097780898862, 1.0768207236089276, 0.9190642925530551, -0.706122098119087","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
7wfnes,"0.8834501250332594, 1.039924955915278, -0.9716564315830029, -1.1256374446464772, 0.9638474725029931, -0.8953831573555248, 0.9039244441173836, 1.0215286893357594, 0.750245549212036, 0.9287790145043789, 1.0803298221093038, 0.762032065663278, 1.2655005114510238, 1.0759360635987611, -1.1131477233088398","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
oqt2,"0.9511740043584865, -1.0417697214119717, -1.0195276806601214, 1.0974434610211652, -0.9829999380406481, -1.3591530973528645, -1.0547595059970942, -0.7865030469837113, 1.0217271231064964, -1.058195879625736, -1.0692073138112488, -1.055096395864831, -1.143872709975595, -1.057532999958641, -0.9838701061209109","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
as5,"1.0513287433967995, -1.0192416437778837, -1.0470641075611968, 0.9005457254976933, 1.1690732494475353, 0.860983939479239, -1.0783598139153212, 0.8803123897737857, -0.7808584952716445, 1.0588438487898122, 1.3644521669724397, 1.025041721953751, -1.1111278959887745, 0.8707877207894834, -1.1324945768344417","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
92,"0.8835621250416658, 0.9446513802276696, -0.8945974119877842, -0.7889107789488212, -1.0587755640665077, 0.9687784985284023, 1.0143560689852174, -1.010259735571385, -0.8183530808070496, -0.9817859584415483, -0.8838078971044484, -1.135271420254278, 1.2892374493480225, -1.1306709643267605, -1.02574743427848","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
q0k2,"0.9668446388878797, -0.7694400463647069, -1.0826994306689142, -0.8872236749214644, 1.2679402960618387, 1.353893270634169, 0.9708063425683422, -1.0425842953261601, 1.0578734537758407, 1.0630764227849399, -0.9957324731616333, -0.8422681427788145, 1.1613024393761795, 1.1031024475873257, 1.094143684167416","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
ytj5m1cir,"0.9894414635937485, -0.9665027066717841, -0.7929031082340939, -1.0178231001456992, -1.0074969188781064, 1.158509804425328, 1.0149582498433611, -0.968099857138944, -1.274892354690402, -1.0602521294147138, -0.6523255460358484, 0.9649701114039674, -1.2404374587088796, 1.0294539262083935, -1.0186852926972898","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
vlyce1h3r,"1.0000673776019484, -0.8369646899091326, -0.9957335017079394, -0.6675554402553675, 0.9137508412810126, -1.0736223858379006, 1.0877690648887466, 0.9327996651886653, 1.247494606266565, 0.7312322862442744, 0.9753539758560938, -1.1146962222797563, -0.9213669807936379, -1.1184641485531286, -1.009946885833325","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
ltra,"0.9675831549894788, -0.9619691937909597, -1.118844880942205, 1.0122965021542425, -1.1795288407576985, -0.9232773093033775, -1.0131777483860103, -1.0516880421216197, 1.1751902811890245, -1.1027827173397065, -1.0434629748482693, -0.9353606913648982, -1.0413282573922436, -0.9561975110669807, -0.9653334255188241","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
227cqk0o,"0.8583330994957377, 0.9574090532978683, -1.1670002714864192, -0.9116191138955866, 1.0395810236727199, 0.7683912520126255, 1.192420121498845, -1.163480818909397, 0.8801295755797942, 1.0135368816990251, -0.9343721576363497, 1.0222658561766416, -1.0370292504520937, -1.116543369711218, 0.6440260407031403","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
e9e141,"1.1772497222921514, -0.910256258143106, -1.0178490842486834, 1.1298438137818123, 1.0666600761528189, -1.1097541221585683, -1.1083622228942587, -1.1050043434080534, -0.8723520084110397, 1.0276730668118994, -1.002957532374867, 1.0252201169086308, 1.1250259749043492, -0.9750638690344462, 1.0728998699528796","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
cx96,"0.9994879028592972, -0.8506683030515874, -0.8832999448410443, 0.8732995261996724, 0.9596920722314353, 1.0610548628499086, -1.2757979284714713, 1.060869913946218, -1.1015205929475578, 0.8901154370490185, 1.3411518584090867, 1.0168543956276561, -0.90420728123667, 0.9240936672054121, -1.1374912775343713","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
jl,"1.0403704727308936, -0.9384318475068889, -1.1257723023115314, 1.0705760809114935, -1.1018154958435198, 0.9235077987373803, -1.0902876017788898, 0.6941861098169205, 0.761996448585118, -0.9814631723157768, 0.785656036846498, -0.9081927526143364, 1.221484835685923, 1.0613307537997945, 1.1367771165256342","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
t84ohzab2z,"0.8778111575494276, -1.0731797415333582, -0.9653928788468618, -1.0001075001478348, 1.040205478170627, -1.1337517324410262, 1.060489537559248, 0.8411058283777397, 1.0469013529059705, 0.799120760004122, 0.9942469852572102, -1.2643350590391398, -1.0492792595511473, -0.8487961272471444, -1.0997056148515412","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
ukm,"1.205254957726178, -0.8877626354251669, -0.971566341388792, -0.8238147529969083, 0.8804293272786203, -0.9952212763119622, 1.3357545496365393, 1.1070332797614608, 1.0211618922726515, 0.8176925529554946, 1.1481724988114321, -0.9995202878894509, -0.9992419053363708, -1.0837713897336871, -0.7973278585973975","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
ubb,"0.9124838810129996, -0.6916982880141674, -0.8848652612749947, -0.8081395557357676, 0.9050033765726669, -1.0883860083499506, 1.1189518956314495, 0.9385491135453208, 0.8175836092647717, 0.8284036848018423, 0.619501893319462, -0.9999084145422644, -0.9954353590539908, -1.1637409784396509, -1.0468405935008365","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
n56udm,"0.858965721417496, -0.974974916284879, -1.0268552778419828, 0.9020563768995586, -0.9322872559252134, -1.0282912542492406, -0.7869031180302766, -0.8569167415711352, 1.2019412956900473, -0.8312069562851435, -1.0188561913087593, -1.063342987920275, -1.0485583130424772, -1.2049590819768796, -0.8650821683459214","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
f,"0.9393879372599465, -0.9488783499889992, -1.0025060839927113, 0.8951681962115562, 0.9020992953412363, -0.9149224830733932, -0.9564172293327844, -1.1542402087759929, -0.9153127784986073, 0.8887068648025265, -0.9198396956304098, 0.9241637111272827, 1.057530415096216, -0.8777477927923, 0.8667090019158945","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
f,"0.9608214046729504, -1.0207364407536297, -0.9591703648773428, 0.9858752024278915, 0.8808461171298028, -0.8358374676036974, -0.9182399280228939, -1.0669756150019094, -0.8917879409354614, 1.0428624472755574, -0.852484548564937, 0.9223667965932101, 1.0704349135995925, -1.0405074076583447, 1.1662992750155117","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
vld6i,"1.088806341360648, -1.0073588805106912, -1.0014094539096432, -0.9946511759923736, 1.0916881530435931, -1.2402715332063627, 1.0137166792542045, 1.0100562935522257, 0.7443425768822199, 1.1487813157413358, 1.0300724405570003, -1.2089934507181384, -0.9898450600825051, -1.0086270251075042, -1.0061876997257733","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
tux7hzlw5p,"0.9060072337189442, -1.1096835676626817, -0.8378613670960401, -0.8642316768289865, 0.8605657498395349, -1.2588074259914792, 0.8595315450429929, 1.0644641678106588, 0.8944167681236039, 0.832292806075446, 1.1384212026116254, -1.2042592043815168, -1.237935761598328, -1.1699539875204539, -0.8637917066291771","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
k5hl,"1.1512163517432659, -1.0404079137207982, -1.021221596692743, 0.776766006318655, -0.9564777905855525, 0.8885194573809271, -0.9483049905128867, 1.0621456960151336, 0.8582869138501698, -0.8414415539524233, 0.8844591672952266, -0.9827543302361235, 1.020039339087822, 1.0743949458011879, 1.1132768619291153","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
96a7,"0.9603046573634296, 0.9838508174988877, -0.8752965503696193, -1.0696092342160783, -1.1535811124111306, 0.8812532815824721, 0.9595571248856741, -1.2943929204367706, -1.3709356264723183, -1.3277892205611261, -0.9535380838707402, -0.7847727880011666, 1.2838511446266614, -0.7240568155487714, -0.8065594340101885","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
vjlof,"1.0671054881123212, -1.208606961432349, -1.1350801253067602, -0.6861743100855386, 1.3097119712139034, -1.0646259241223532, 0.9101297319255226, 1.0121304335147316, 1.0697503396225494, 0.780789486805783, 0.7492164015990668, -0.9316299591136522, -1.1753812713917435, -1.0751765372345696, -1.249046842812254","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
0sx6hzzo,"0.9844009731647478, 1.0543396729920083, -0.9607731094142045, -0.933256744134266, 0.8686156568297467, 0.9794679711426855, 0.9847410328713, -0.9874813151167422, 1.0399757466076396, 1.1919160444915502, -1.098477738094266, 0.7010873379540504, -1.3684147527674184, -1.2329934762905583, 0.8711247155061352","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
xsflxwnwlp,"0.7149458232810117, -1.0392916170732764, -0.9740858789330393, -0.9713610420952747, -0.7700321625166787, 0.661154987218824, 1.2361260251430257, -1.1700501254098192, -1.0351881125799063, -1.12730637118933, -0.8211515031228537, 1.2051107373172218, -1.0949658307388668, 1.060087589163383, -1.0302239860866185","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
i3,"0.9569533980529307, -0.8554510439573464, -0.9677290454028634, 0.8706641764174132, -1.0418951556636067, 0.8318012958261314, -0.8931327270950495, 0.8238703250269968, 0.9254092640330139, -0.7209877353667024, 1.142833023731275, -1.11310212111681, 0.9743997103044649, 0.9441226693655531, 0.8177262396164384","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
,"0.9161572751153005, 1.0206215193273127, 0.9585847979961373, 0.9380954358206783, 1.0346543923716094, 1.06625624453772, 1.0664912666367385, 1.0418870433438085, 1.1717220478785115, 1.1460169441453758, 0.8269369120966497, 1.0369646457773354, 0.9872378564480554, 0.8734284560744866, 1.0160305683013169","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
,"1.1530155219946658, 1.0421441272288439, 0.9516100294878759, 0.8125413270472498, 0.7344570063301741, 1.1666401667131678, 0.8153335403827353, 1.1124168518430653, 0.9006455245443433, 0.9405689650830771, 0.8525207805171744, 1.2408416316048472, 0.9325646320535155, 1.0861633524443575, 1.257717381316461","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
updorm1am3,"0.9190429070345973, -1.0390791909916244, -1.2074221103879863, -1.2106915517521717, 0.9913623457611738, -1.2490553087324265, 0.8881897358452644, 1.026675134297943, 0.8831476536831598, 1.1056392833214594, 1.2272602746120147, -0.8316459279392007, -0.7712789324740459, -1.0035718527425452, -1.0898570117924515","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
h4uc9m,"0.9543074298471286, -0.8335965486087684, -0.9826980712489742, 0.9089442917909885, -0.8306796725821074, 1.1366246073736235, -1.1142398569925447, 0.7451644686044492, 1.0133680050444067, -1.2813673056539, 0.8713739196236611, -0.9345446703252449, 1.1662584377683163, 1.2661526925079876, 0.8420899201638057","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
riyz39l1,"0.8386359677179275, -0.6749932570965029, -1.154094347124823, -1.1804231495090156, 0.9170837406495629, 1.0887516681994587, 0.6945005383216207, -1.0541345957716817, 1.2303063345713534, 0.8326675126227673, -0.9713802308216227, -0.9956032022456566, 0.9285893748448508, 1.0428449275572855, 1.0694387033387511","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
k2ewh,"1.1577805438920254, -0.7103133851086728, -1.0201080504948319, 1.138271484246733, -0.9743192079450411, 0.6707970820990473, -1.1578792459972553, 1.045325565179132, 1.1296918049549174, -0.889841932384934, 0.9109228868071007, -1.1146071863147873, 1.0562734899527957, 1.187155365766626, 0.7592584588873633","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
u6u,"1.086995633670561, -0.9259968614783644, -1.1873328641641079, -1.0926466245272224, 1.0091751331019636, -1.139537354858908, 0.8722200198985206, 0.8078988336902746, 1.0610111347366808, 0.98651193981145, 0.8677912287098938, -1.0017571226374455, -0.8796820673222525, -0.9372517966468739, -0.9306475195759549","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
2l8xycfyj,"0.9555197645841739, 0.9206005723057422, -1.024071078983349, -1.0201533627345851, 0.9997952797245493, 0.9197703596227025, 0.6564006077646438, -0.9478312133324365, 0.7754650241482123, 0.8291199383649539, -1.1000929731453013, 1.1171075754677249, -0.7551009678932478, -1.1750460412865975, 0.9812054290535605","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
mgqgm76,"1.0375079429194276, -1.169902241307032, -1.0074771867296233, 0.9642058295364155, -0.8576514012697743, -0.8020088448385752, -1.0313189353897418, -0.8445213413286619, 0.9663772966317064, -0.8335635692583606, -0.7456563838310102, -1.248534438229571, -0.7200561540739934, -0.7975843447387282, -0.9930348207223146","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
wuor4ddlf,"0.9683059446584494, -0.861405463939734, -0.7443693598537482, -0.9116483806972338, 1.0721101603540375, -1.1264467585712914, 1.0898847778217629, 1.2216148379385117, 0.7471487157280275, 1.3986258242372598, 1.034716561853675, -1.1826766220152538, -0.8934838429903219, -1.0368086272986137, -0.8438440968259963","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
od,"0.8582586909803676, -1.079421561473436, -1.23927978777375, 1.072372438611411, -0.9969001526985685, -1.056294840508544, -0.8764510145070485, -0.6976172926708902, 0.7755659737937929, -0.9566861383936716, -1.2170476111562007, -0.9025612217306491, -0.9104649205083346, -1.2257463097955572, -1.1368233013077873","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
9,"1.0930677781358957, 1.0522632924842859, -0.9284712439684303, -1.0724150593692752, -1.0373221224273528, 0.9249707114979221, 0.7569472935417279, -1.1619430191256115, -0.9111478109102541, -1.3967940613462098, -0.7300428274462493, -0.762586069681975, 1.0038331637851161, -0.8169934906364115, -1.0273797174321915","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
5x145xwq,"1.1785013584373794, 1.0043677724543698, -1.076307855767173, -1.150791339706006, 1.152073012185808, -0.9122696938086926, 0.9458155258831913, 1.0722982285967209, 1.0754965242760184, 1.1513887433242156, 0.9263256743204891, 0.9574102354618484, 0.9169204201122121, 0.9803050357931694, -0.8853822345964983","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
he33npjv,"0.8949091664887745, -1.0307947222236598, -1.0529671749715264, 1.0964547040680477, -0.8546959847623301, 0.8314615626686445, -1.0358601188180114, 1.060566933737516, 1.1304482346549602, -0.8574648296325508, 0.8329887555854849, -1.0611522919169019, 0.9870786163409144, 0.8277148003446537, 0.9070453444233696","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
6mecqepqgm,"0.9566137625643445, 1.1840982805773814, -0.9263253029780687, -1.0287492548596675, 1.1170108170502764, -1.1696914222235733, 1.027122786191412, 1.3460370167106002, 0.9459465209908376, 1.0777409116044325, 0.9235370866584175, 1.1768794577587383, 0.8639207349126236, 0.8827496896013426, -0.9806005471049858","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
4d3htn0,"0.9770277330578382, 0.819710856345426, -1.0573464780710493, -1.253997312663246, 0.9506040979412038, -0.8456347851720969, 1.1597468987805537, 1.2591144431534198, 1.1785488165443427, 0.8860794897513327, 0.9032181115789538, 1.0060655775474565, 0.822350206801081, 0.9631297912268081, -1.2122968537999492","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
2an,"0.988584599322352, 1.0364422008190193, -0.7516056995321324, -0.9100799716107884, 1.0485422045850472, 0.9327164187369249, 1.0772454060179417, -0.976153608231394, 0.9020253392367472, 1.0228313430346048, -1.0834563317001564, 0.9657652651850909, -0.9183615103627532, -0.8599865965740734, 1.1413499090415797","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
y0zmk7qvua,"0.8615865226723302, -0.9451329479203471, -0.5930042598436541, -0.9343699409410281, -0.912512646803157, 1.259414343808818, 0.808684508243909, -0.8593579191409805, -1.0210629584967552, -0.9690045813228991, -0.903039449128128, 0.9121519350954539, -1.0742553507038999, 0.9078470891117535, -1.0432286091349265","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
vo1t4,"0.8986104346721537, -1.1329482318929553, -0.9431118326004158, -1.098489502305711, 1.0305423423043591, -1.0569208756003023, 1.1119937438576084, 0.9121695451998117, 0.8494408177341402, 1.1279411668172676, 0.8406188656558939, -1.016260731694264, -1.0757553602654117, -0.9377055873566416, -0.7980552263826967","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
vhk8jejks5,"1.3591514192822016, -0.7177594196803084, -0.8972490882856876, -1.0670216158330537, 1.0615374448199835, -1.0881796590320612, 0.9883342312909852, 0.95692209873911, 1.18611964911673, 0.9620247703094806, 0.9781702093555292, -1.006136340205926, -0.8732571164503232, -0.7029480902499037, -1.031200860317912","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
h3ibtx3d6,"1.0874794966300245, -1.003993217218855, -0.8864185263552009, 1.0187286609005348, -0.9953245763524523, 0.8576901320840303, -0.7571180625856294, 0.9232834211558616, 0.977233868724714, -1.0547297420250883, 1.0840019994518049, -1.0772501673581238, 1.0925204375430604, 1.0363415089521668, 0.9592312133569594","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
pmxpkv9r3,"0.9720430483133438, -0.8690858505705342, -1.2025117601639148, -0.7972251001923158, 0.9245415239436975, 1.0600835380058569, 1.1718152896960217, -0.996411876109255, 1.030801293127028, 0.9063086173344339, -0.8373947878580158, -1.027235755007915, 0.9570787879031322, 1.0018277184070383, 0.8846928701539198","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
1l850mend,"0.9821530018269622, 1.101565574182429, -0.7586003346390937, -1.2267621783033769, 0.9153703555101974, 1.0561768540562277, 0.7017668068420779, -1.0117103162162095, 0.8995285795054502, 0.8859387736394759, -0.7806519999589596, 0.9430136221126264, -0.8425666039636196, -1.0199956621507598, 1.1915148710377226","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
